[S-23C] [Kaldi] [1] [0.32195121951219513] S:[44], I:[3], D:[19]
[S-23C] [Google] [2] [0.42134831460674155] S:[40], I:[7], D:[28]
[S-23C] [Kaldi] [2] [0.34269662921348315] S:[19], I:[20], D:[22]
[S-23C] [Google] [3] [0.5642201834862385] S:[69], I:[1], D:[53]
[S-23C] [Kaldi] [3] [0.41284403669724773] S:[65], I:[3], D:[22]
[S-23C] [Google] [4] [0.45435684647302904] S:[89], I:[4], D:[126]
[S-23C] [Kaldi] [4] [0.2717842323651452] S:[72], I:[8], D:[51]
[S-23C] [Google] [5] [0.34812286689419797] S:[37], I:[1], D:[64]
[S-23C] [Kaldi] [5] [0.22184300341296928] S:[35], I:[4], D:[26]
[S-23C] [Google] [6] [0.3488372093023256] S:[3], I:[0], D:[12]
[S-23C] [Kaldi] [6] [0.18604651162790697] S:[5], I:[0], D:[3]
[S-23C] [Google] [7] [0.3194444444444444] S:[16], I:[0], D:[7]
[S-23C] [Kaldi] [7] [0.16666666666666666] S:[8], I:[1], D:[3]
[S-23C] [Google] [8] [0.375] S:[15], I:[1], D:[17]
[S-23C] [Kaldi] [8] [0.3181818181818182] S:[15], I:[4], D:[9]
[S-23C] [Google] [9] [0.32] S:[6], I:[0], D:[2]
[S-23C] [Kaldi] [9] [0.28] S:[5], I:[2], D:[0]
[S-23C] [Google] [10] [0.625] S:[13], I:[0], D:[17]
[S-23C] [Kaldi] [10] [0.2916666666666667] S:[13], I:[0], D:[1]
[S-23C] [Google] [11] [0.4429530201342282] S:[30], I:[2], D:[34]
[S-23C] [Kaldi] [11] [0.2214765100671141] S:[18], I:[2], D:[13]
[S-6B] [Google] [0] [0.5454545454545454] S:[40], I:[1], D:[37]
[S-6B] [Kaldi] [0] [0.42657342657342656] S:[40], I:[5], D:[16]
[S-6B] [Google] [1] [0.42995169082125606] S:[44], I:[2], D:[43]
[S-6B] [Kaldi] [1] [0.3188405797101449] S:[45], I:[6], D:[15]
[S-6B] [Google] [2] [0.3090277777777778] S:[48], I:[1], D:[40]
[S-6B] [Kaldi] [2] [0.1527777777777778] S:[25], I:[2], D:[17]
[S-6B] [Google] [3] [0.4090909090909091] S:[42], I:[0], D:[39]
[S-6B] [Kaldi] [3] [0.24242424242424243] S:[28], I:[7], D:[13]
[S-6B] [Google] [4] [0.2803738317757009] S:[58], I:[6], D:[56]
[S-6B] [Kaldi] [4] [0.17757009345794392] S:[45], I:[11], D:[20]
[S-6B] [Google] [5] [0.2766393442622951] S:[63], I:[7], D:[65]
[S-6B] [Kaldi] [5] [0.10860655737704918] S:[28], I:[6], D:[19]
[S-5A] [Google] [0] [0.5328947368421053] S:[104], I:[1], D:[138]
[S-5A] [Kaldi] [0] [0.3574561403508772] S:[105], I:[17], D:[41]
[S-5A] [Google] [1] [0.49145299145299143] S:[44], I:[1], D:[70]
[S-5A] [Kaldi] [1] [0.29914529914529914] S:[42], I:[5], D:[23]
[S-5A] [Google] [2] [0.44035346097201766] S:[132], I:[9], D:[158]
[S-5A] [Kaldi] [2] [0.2916053019145803] S:[113], I:[21], D:[64]
[S-5A] [Google] [3] [0.4228571428571429] S:[60], I:[1], D:[87]
[S-5A] [Kaldi] [3] [0.24] S:[50], I:[6], D:[28]
[S-5A] [Google] [4] [0.41284403669724773] S:[52], I:[3], D:[80]
[S-5A] [Kaldi] [4] [0.22629969418960244] S:[42], I:[5], D:[27]
[S-5A] [Google] [5] [0.48073022312373226] S:[114], I:[1], D:[122]
[S-5A] [Kaldi] [5] [0.2880324543610548] S:[82], I:[8], D:[52]
[S-11C] [Google] [0] [0.27411167512690354] S:[18], I:[2], D:[34]
[S-11C] [Kaldi] [0] [0.16751269035532995] S:[23], I:[3], D:[7]
[S-11C] [Google] [1] [0.41509433962264153] S:[19], I:[0], D:[47]
[S-11C] [Kaldi] [1] [0.23270440251572327] S:[24], I:[2], D:[11]
[S-11C] [Google] [2] [0.2620320855614973] S:[55], I:[0], D:[43]
[S-11C] [Kaldi] [2] [0.18181818181818182] S:[42], I:[5], D:[21]
[S-11C] [Google] [3] [0.26649746192893403] S:[37], I:[0], D:[68]
[S-11C] [Kaldi] [3] [0.19289340101522842] S:[42], I:[4], D:[30]
[S-11C] [Google] [4] [0.22727272727272727] S:[70], I:[3], D:[57]
